"","cbd","fao","imo","ioc","isa","unep"
"aalco",0,0,0,0,0,0
"abidjan",0,0,0,0,0,3
"apfic",0,0,0,0,0,0
"ats",2,1,0,1,8,34
"barcelona convention",0,0,0,0,0,1
"benguela",0,0,0,0,0,0
"cbd",241,2,0,0,1,77
"ccamlr",0,0,0,0,0,0
"cites",1,3,0,0,0,17
"cms",0,1,2,0,0,20
"commission on the limits of the continental shelf",0,0,0,0,2,0
"commonwealth",0,0,0,1,2,1
"cpps",0,0,0,0,0,0
"fao",2,368,2,0,1,7
"gcf",0,1,0,0,0,1
"gef",14,3,0,0,0,71
"gesamp",0,0,0,0,0,0
"gfcm",0,2,0,0,0,0
"glfc",0,0,0,0,0,0
"helcom",0,0,0,0,0,0
"iaea",0,4,0,0,0,2
"iattc",0,0,0,0,0,0
"iccat",0,0,0,0,0,0
"ices",0,10,0,4,0,28
"ilo",0,1,2,0,0,11
"imo",0,2,63,1,3,4
"ioc",0,0,0,115,0,9
"iotc",0,0,0,0,0,0
"ipbes",22,1,0,0,0,83
"ipcc",0,2,0,2,0,52
"iphc",0,0,0,0,0,0
"isa",0,2,0,2,427,52
"itlos",0,0,0,0,2,0
"iwc",0,0,0,0,0,0
"medfund",0,0,0,0,0,0
"minamata",0,0,0,0,0,14
"naca",0,0,0,0,0,0
"nafo",0,0,0,0,0,0
"nasco",0,0,0,0,0,0
"nauru agreement",0,0,0,0,0,1
"neafc",0,0,0,0,0,0
"npfc",0,0,0,0,0,0
"ospar",0,0,0,0,0,0
"pacific island forum",0,0,0,0,1,0
"pemsea",0,0,0,0,0,1
"pices",0,0,0,2,0,0
"psc",0,0,1,0,0,0
"seafdec",0,0,0,0,0,0
"seafo",0,0,0,0,0,0
"sica",0,0,0,0,0,0
"spc",0,0,0,0,1,4
"sprep",0,0,0,0,0,4
"the who",0,1,1,0,0,3
"unclos",0,0,1,0,5,0
"undesa",0,0,0,0,3,0
"undp",9,1,0,0,0,34
"unece",0,0,1,0,0,5
"unep",13,3,0,1,0,578
"unfccc",4,4,1,0,0,106
"unff",0,0,0,0,0,0
"unido",0,0,0,0,0,6
"unsd",0,0,0,0,0,8
"wcpfc",0,0,0,0,0,0
"wipo",0,0,0,0,0,0
"wmo",0,0,0,11,0,17
"world bank",2,7,1,0,0,17
"wto",0,3,0,0,0,7
