"","title","link","text","collection_date"
"1","Why the CBD Must Take a Whole-Society Approach to Protecting Nature","https://www.cbd.int/doc/c/3064/749a/0f65ac7f9def86707f4eaefa/post2020-prep-02-01-en.pdf, https://ipbes.net/global-assessment, https://www.wwf.org.uk/press-release/living-planet-report-2020, https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/957291/Dasgupta_Review_-_Full_Report.pdf, https://news.trust.org/item/20210218101203-4wbrh/, https://news.trust.org/item/20210218101203-4wbrh/, https://www.cbd.int/article/unea-5-side-event-action-agenda, https://www.cbd.int/action-agenda/, https://environmentassembly.unenvironment.org/unea5","""the crisis facing nature has never been more apparent. the costs to mankind of our degradation of the natural world have never been more evident. fortunately, the beginnings of a meaningful response <U+0096> in the form of a post-2020 global biodiversity framework <U+0096> is close at hand. 

but, for that framework to succeed, governments must ensure broad participation in its formal processes. non-state actors <U+0096> sub-national governments, business and the financial sector, academia, civil society, youth and indigenous peoples and local communities <U+0096> have a critical role to play in delivering biodiversity outcomes. 

there is no denying the urgency of the challenge. as the ipbes global assessment warned, an estimated one million animal and plant species are threatened with extinction. wwf<U+0092>s living planet report found that global wildlife is in freefall. 

the crisis in nature has direct impacts on human society and prosperity. as the world economic forum<U+0092>s nature risk rising report points out, more than half of the world<U+0092>s total gross domestic product, or $44 trillion, involves activities that are moderately or highly dependent on nature. meanwhile, the covid-19 pandemic, which has caused the greatest shock to the global economy since records began, has exposed our exposure to zoonotic diseases jumping from stressed animal populations, habitat and ecosystem loss. 

the report economics of biodiversity: the dasgupta review underlined the fact that nature is an asset. it can no longer be treated with no value, and thus continue to be degraded to the point where we remain more vulnerable and exposed to future pandemics.  

action to halt and reverse the crisis in nature is, at last, rising to the top of the international policy agenda. the rescheduled 15th meeting of the conference of the parties (cop-15) to the convention on biological diversity (cdb), due to take place in kunming, china, is expected to agree a successor to the aichi biodiversity targets. 

we are confident that governments at cop-15 are capable of building a collective, ambitious, measurable vision for biodiversity conservation and sustainable use that encourages transformational change. that vision must incorporate intermediate objectives and mechanisms to measure progress. it must recognise that this vision and its objectives are an essential element for people<U+0092>s livelihoods and sustainable development. it must ensure that this vision, and its objectives and mechanisms, are effectively mainstreamed into domestic policies.

the question is, how can this vision be realised?"" 

 

click here to read the full op-ed, originally published on thomson reuters foundation news website


 

more information:

thomson reuters foundation news website

unea side event 

make a commitment: sharm el-sheikh to kunming action agenda for nature and people",2021-04-16
"2","Why the CBD Must Take a Whole-Society Approach to Protecting Nature","https://www.cbd.int/doc/c/3064/749a/0f65ac7f9def86707f4eaefa/post2020-prep-02-01-en.pdf, https://ipbes.net/global-assessment, https://www.wwf.org.uk/press-release/living-planet-report-2020, https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/957291/Dasgupta_Review_-_Full_Report.pdf, https://news.trust.org/item/20210218101203-4wbrh/, https://news.trust.org/item/20210218101203-4wbrh/, https://www.cbd.int/article/unea-5-side-event-action-agenda, https://www.cbd.int/action-agenda/, https://environmentassembly.unenvironment.org/unea5","on the margins of the fifth session of the united nations environment assembly (unea-5), the governments of egypt and china, in collaboration with the secretariat of the convention on biological diversity, organized a virtual side event.

the objective of the event was to demonstrate how commitments by non-state actors (e.g. civil society organizations, business and financial sectors, cities and other local authorities) can help to raise ambition for the post-2020 global biodiversity framework and support actions to promote its implementation, while also contributing to the sustainable development goals (sdgs).

for more information and to re-watch the event click here: https://www.cbd.int/article/unea-5-side-event-action-agenda",2021-04-16
"3","Perspectives on COVID-19 and Protected Areas","https://parksjournal.com/wp-content/uploads/2021/03/Phillips_et_al10.2305-IUCN.CH_.2021.PARKS-27-SIAP.en_-1.pdf, https://www.cbd.int/conferences/post2020, https://www.cbd.int/climate/, https://www.cbd.int/development/doc/biodiversity-2030-agenda-technical-note-en.pdf, https://www.cbd.int/traditional/general.shtml, https://www.cbd.int/aichi-targets/target/11, https://www.cbd.int/conferences/post2020, https://www.cbd.int/decision/cop/?id=12268, https://parksjournal.com/parks-27-si-march-2021/, https://www.cbd.int/article/Nature-COVID19, https://www.cbd.int/protected/, https://www.cbd.int/gbo5","the following is an excerpt from the article titled,  ""reframing the problem and solutions: twelve perspectives from around the world"" which appears in the special issue on covid-19 edition of parks, the international journal of protected areas and conservation.

""in the face of this challenge [of the covid-19 pandemic], the post-2020 global biodiversity framework is our road map and its implementation a necessity for our survival. the next 10 years will be the most critical of our generation. without much more determined action, nature will be destroyed on an appalling scale, with ever greater environmental threats and climate-related impacts, including floods, storms, drought, desertification, food shortages, water scarcities, wildfires, sea level rise and depletion of the oceans. to avoid this nightmare future and realise instead the 2050 vision of living in harmony with nature, the nations of the world must deliver on the 2030 agenda for sustainable development.

the parties to the convention on biological diversity recognise that protected and conserved areas are cornerstones of biodiversity conservation. they constitute important stocks of natural, cultural and social capital and yield economically valuable goods and services that benefit human populations. if they are to function well, they must be effectively managed and governed with inclusiveness, transparency and equity, and encourage the participation of indigenous peoples and local communities, and youth, among others.

there is some good news. we are on track to exceed aichi target 11 <U+0096> of 17 per cent of terrestrial areas under protection, and 10 per cent of marine and coastal waters. almost 20 million kilometers squared in protected land and sea areas have been added over the last decade. with coherent and concerted effort, globally agreed targets can be achieved.

the covid-19 pandemic taught us that by working together and in solidarity, we can end the pandemic, tackle its consequences and build resilience against future pandemics. we should transfer that lesson to the challenge of biodiversity by implementing the post-2020 global biodiversity framework.

moving into the post-2020 period, we will need increased ambition and implementation, as well as a greater focus on protected area quality. by leading humanity away from its current destructive course, we can achieve the 2050 vision of living in harmony with nature. but that will require a concerted effort from all stakeholders: governments; global, regional and sub-regional organisations; nongovernmental organisations, civil society, the private sector, academia and others...""

read the full article in issue 27 of parks, the international journal of protected areas and conservation

 

 

more information

covid-19 and nature

protected areas

global biodiversity outlook 5",2021-04-16
"4","2020: The Year That Was","https://twitter.com/hashtag/biodiversity2020?src=hash&ref_src=twsrc%5Etfw, https://t.co/u0QiBQRmsa, https://t.co/tM1Djrcp0N, https://twitter.com/UNBiodiversity/status/1231681384294572032?ref_src=twsrc%5Etfw, https://www.cbd.int/article/WG2020-02-Highlights, https://www.cbd.int/idb/2020,  https://www.cbd.int/gbo5, https://www.un.org/pga/75/united-nations-summit-on-biodiversity/, https://www.cbd.int/article/2020-UN-Biodiversity-Summit","the year 2020 did not go quite as planned. the covid-19 pandemic forced the world to re-examine its relationship with nature, as more people come to the realization that we are completely dependent on healthy and vibrant ecosystems for our water, food, medicines, clothes, fuel, shelter and energy.

biodiversity is now increasingly recognized as a global asset of tremendous value to current and future generations. the convention on biological diversity is working to ensure the conservation of biodiversity, sustainable use of its components and the fair and equitable sharing of benefits from the use of genetic resources.

here are some key moments for biodiversity in 2020

 

second meeting of the open-ended working group



beginning on monday, delegates from over 140 nations come together in rome to restart negotiations on a #biodiversity2020 agreement to safeguard all life on earth.
the talks begin at 10:00 cet / 9:00 gmt.
not in rome? watch the live webcast: https://t.co/u0qibqrmsa pic.twitter.com/tm1djrcp0n
<U+0097> un biodiversity (@unbiodiversity) february 23, 2020


the second meeting of the open-ended working group on the post-2020 global biodiversity framework saw governments and stakeholders complete the first round of negotiations on the zero draft of a global framework on nature and people that seeks to bend the curve on biodiversity loss by 2030, with the goal of building a future of life in harmony with nature by 2050.

see highlights from the meeting: https://www.cbd.int/article/wg2020-02-highlights

 

international day for biological diversity 2020
the international day for biological diversity on 22 may and its theme <U+0093>our solutions are in nature<U+0094> was preceded by a week of daily themes and events, highlighting the crucial role nature plays in addressing climate change, food security and health.

the 2020 world environment day and its theme <U+0093>time for nature<U+0094> served to focus global attention on the critical role biodiversity plays in providing the essential infrastructure that supports life on earth and human development.

learn more: https://www.cbd.int/idb/2020

 

global biodiversity outlook 5
the fifth global biodiversity outlook, the cbd<U+0092>s flagship report and the leading un report on biodiversity, provided a status report on action we need to take, where we stand, where we need to go, and how to get there, and outlined eight major transitions needed to slow, then halt nature<U+0092>s accelerating decline.

while the report found that none of the aichi biodiversity targets had been fully achieved, with only six targets being partially met, it also highlighted progress in several areas. in fact, where policy measures were in place, and where actions have been implemented, they delivered results. bright spots include extinctions prevented by conservation, more lands and oceans protected, and fish-stocks bouncing back in well-managed fisheries. policy measures do work. but we must do more. 

see the full report: https://www.cbd.int/gbo5

 

un summit on biodiversity
secretary-general antónio guterres prepares to address the united nations summit on biodiversity.
source: un photo/rick bajornasleaders from 80 countries and the european union signed on to the leaders<U+0092> pledge for nature, launched in support of the first un summit on biodiversity. the pledge outlines ten actions that will help the world achieve the vision of living in harmony with nature by 2050.

the un summit on biodiversity, held in september, provided an indication of how important an issue biodiversity has now become globally. a record number of nations addressed the summit - nearly 150 countries delivered statements, including 72 heads of state and government.

learn more about the summit: https://www.un.org/pga/75/united-nations-summit-on-biodiversity/
watch the summit: https://www.cbd.int/article/2020-un-biodiversity-summit

 

looking ahead
source: un photo/mark gartenthat world leaders are showing willingness to tackle these issues head-on is a step forward towards ensuring a sustainable future for us all. this political momentum is critical if we are to develop an ambitious post-2020 global biodiversity framework that sets the world on the path to a sustainable future.

we now have a unique opportunity before us, to protect and restore our ecosystems and biodiversity and build back better to increase our resilience to future crises and to ensure human well-being for generations to come. let<U+0092>s seize it!",2021-04-16
"5","Updated Zero Draft of the Post-2020 Global Biodiversity Framework","https://www.cbd.int/doc/c/3064/749a/0f65ac7f9def86707f4eaefa/post2020-prep-02-01-en.pdf, https://www.cbd.int/article/WG2020-02-Highlights, https://www.cbd.int/conferences/sbstta24-sbi3, https://www.cbd.int/doc/c/3064/749a/0f65ac7f9def86707f4eaefa/post2020-prep-02-01-en.pdf, https://www.cbd.int/conferences/post2020/post2020-prep-01/documents, https://www.cbd.int/conferences/sbstta24-sbi3-prep","the updated zero draft of the post-2020 global biodiversity framework takes into account the outcomes of the second meeting of the open-ended working group on the post-2020 global biodiversity, which took place in february 2020, as well as the submissions received since.this draft will be further updated to take into account the outcomes of the twenty-fourth meeting of the subsidiary body on scientific, technical and technological advice and the third meeting of the subsidiary body on implementation as well as the advice from thematic consultations and issued as draft one, six weeks prior to the third meeting of the working group.

theory of change of the framework

the post-2020 global biodiversity framework builds on the strategic plan for biodiversity 2011-2020 and sets out an ambitious plan to implement broad-based action to bring about a transformation in society<U+0092>s relationship with biodiversity and to ensure that, by 2050, the shared vision of living in harmony with nature is fulfilled. the framework aims to galvanize urgent and transformative action by governments and all of society, including indigenous peoples and local communities, civil society and businesses, to achieve the outcomes it sets out in its vision, mission, goals and targets, and thereby contribute to the objectives of the convention on biological diversity and other biodiversity related multilateral agreements, processes and instruments.

the framework<U+0092>s theory of change assumes that transformative actions are taken to: 

         (a) put in place tools and solutions for implementation and mainstreaming,

         (b) reduce the threats to biodiversity, and

         (c) ensure that biodiversity is used sustainably in order to meet people<U+0092>s needs and that these actions are supported by

                  (i) enabling conditions, and

                  (ii) adequate means of implementation, including financial resources, capacity and technology. 

  
the theory of change is complementary to and supportive of, the 2030 agenda for sustainable development. it also takes into account the long-term strategies and targets of other multilateral environment agreements, including the biodiversity-related and rio conventions, to ensure synergistic delivery of benefits from all the agreements for the planet and people.

 

more information:

updated zero draft

post 2020 documents

special virtual sessions, in preparation for sbstta-24 and sbi-3",2021-04-16
"6","UN Biodiversity Convention discusses biodiversity, One Health and response to COVID-19","https://www.cbd.int/doc/press/2020/pr-2020-12-15-sbstta-sbi-en.pdf","a special virtual session of the scientific and implementation bodies of the convention on biological diversity (cbd) convened on 15 and 16 december, discussed work by ipbes, oecd, gef, who, cbd and others to show that the underlying causes of pandemics are the same global environmental changes that drive biodiversity loss and climate change.

re-watch the special virtual session discussion that took place on 15 december 2020:



throughout the session, the links between pandemic risk and biodiversity were discussed, as these links reinforce need to address drivers of biodiversity loss.  it was noted that the covid-19 pandemic highlights the urgent need to address the biodiversity crisis with the  climate crisis, and the need for transformative change.

the many opportunities for responses to covid-19 were discussed. options for responses, which ensure that covid-19 economic recovery measures contribute to and do not compromise biodiversity, could take many forms. governments were encouraged to:

maintain and strengthen regulations on land use, wildlife trade and pollution, and ensure that they are effectively enforced; and
	consider options which would ensure that public financial support for stimulus and recovery measures have positive outcomes for biodiversity.
balanced attention to short-term stimulus measures and longer-term approaches, which contribute to sustainable development and reduce the risk of future pandemics, are needed to ensure that we <U+0091>build back better<U+0092>.

 

more information:

information on the special virtual session

press release

discussion note",2021-04-16
"7","UN Biodiversity Convention discusses biodiversity, One Health and response to COVID-19","https://www.cbd.int/doc/press/2020/pr-2020-12-15-sbstta-sbi-en.pdf","attaching environmental conditionality to bailouts of companies to drive sustainability improvements, particularly for bailouts in sectors with a large biodiversity footprint such as agriculture, energy and industry.",2021-04-16
"8","UN Biodiversity Convention discusses biodiversity, One Health and response to COVID-19","https://www.cbd.int/doc/press/2020/pr-2020-12-15-sbstta-sbi-en.pdf","screening and monitoring stimulus measures for their biodiversity impacts to ensure they are aligned with long-term policy goals for sustainability.",2021-04-16
"9","UN Biodiversity Convention discusses biodiversity, One Health and response to COVID-19","https://www.cbd.int/doc/press/2020/pr-2020-12-15-sbstta-sbi-en.pdf","setting biodiversity spending targets for covid-19 stimulus measures and recovery plans, similar to recovery measures which contribute to climate goals.",2021-04-16
"10","UN Biodiversity Convention discusses biodiversity, One Health and response to COVID-19","https://www.cbd.int/doc/press/2020/pr-2020-12-15-sbstta-sbi-en.pdf","employing public procurement to support companies and producers that meet biodiversity criteria.",2021-04-16
