"","title","link","text","collection_date"
"1","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"2","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"3","ISA Assembly endorses the shift towards a programmatic approach to capacity development and requests the preparation and implementation of a capacity-building strategy to meet the needs identified by ISA members","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","press release23 december 2020on 17 december 2020, the assembly of the international seabed authority (isa) formally endorsed the shift towards a programmatic approach to capacity development and requested the secretary-general to prepare and implement a dedicated strategy to meet the needs identified by isa members, in particular geographically disadvantaged states, landlocked developing countries, small island developing states and least developed countries.

training and capacity-building have been an integral feature of isa’s activities since its establishment in 1994. this responsibility is also recognized in the strategic plan and high-level action plan for the period 2019–2023 under strategic direction 5 (build capacity for developing states) and 6 (ensure integrated participation by developing states).

following the decision of the assembly, the secretariat will design a strategy in 2021 that builds on national ownership and leadership, fosters strategic partnerships, and leverages the accumulated knowledge, while ensuring that the required resources – financial and human – are in place to enable member states to make the best possible use of the opportunities available to them.

for media enquiries, please contact:

ms. stefanie neno, communications specialist, isa, sneno@isa.org.jm

---------------

for more information visit our website www.isa.org.jm or follow us on twitter @isbahq",2021-04-16
"4","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"5","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"6","Statement on the passing of Dr. Biliana Cicin-Sain, President of the Global Ocean Forum","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","announcement07 september 2020the international seabed authority (isa) wishes to extend its condolences to the family, friends and colleagues of dr. biliana cicin-sain who passed away on 1 september 2020.

dr. cicin-sain was a driving force in the ocean community and a role model to many, especially women working in ocean matters.

the contribution of dr. cicin-sain to the work of isa has been a catalyst for bringing stakeholders togethers and progressing discussions around key emerging issues. as a member of the advisory committee for the secretary-general’s award for excellence in deep-sea research since 2017, dr. cicin-sain also contributed significantly to highlight the importance of the work of young researchers from developing countries in informing global decision-making processes.

her support and involvement in ocean governance issues and in particular on capacity-building matters will be sorely missed.

for media enquiries, please contact:

ms. katie elles, communications specialist, international seabed authority m: +1 (876) 835 3801/ e: kelles@isa.org.jm

-----------------

for more information visit our website www.isa.org.jm or follow us on twitter @isbahq",2021-04-16
"7","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"8","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
"9","Permanent Representative of China Presents Credentials to the International Seabed Authority","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","jamaica, kingston (5 april 2018) - -  his excellency mr.  tian qi, today presented his credentials to secretary-general, michael lodge, as the new permanent representative of the people's republic of china to the international seabed authority.
he is also ambassador of the people's republic of china to jamaica.
prior to being posted to jamaica, he was ambassador extraordinary and plenipotentiary of china to yemen.
ambassador tian has also served as counsellor and deputy director-general in the ministry of foreign affairs with postings to brunei darussalam, hong kong and ethiopia.
he is married with one daughter.
 


- end -

isba/pr/2018/009tweets by isbahq",2021-04-16
"10","News","https://isa.org.jm, https://www.translatetheweb.com/?from=&to=fr&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://www.translatetheweb.com/?from=&to=es&dl=en&a=https%3A%2F%2Fisa.org.jm%2F, https://twitter.com/ISBAHQ?ref_src=twsrc%5Etfw","tweets by isbahqnanana",2021-04-16
