"","x"
"1","https://www.gov.br/capes/pt-br/assuntos/noticias/molecula-sintetica-pode-inibir-a-progressao-da-covid-19"
"2","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-assina-acordo-de-cooperacao-com-faps"
"3","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-abre-300-mil-vagas-em-cursos-virtuais-para-professores"
"4","https://www.gov.br/capes/pt-br/assuntos/noticias/brasil-pode-ter-20-mil-especies-desconhecidas"
"5","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-cria-grupo-para-equivaler-conceitos-e-notas"
"6","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-lista-perspectivas-para-2021"
"7","https://www.gov.br/capes/pt-br/assuntos/noticias/projeto-une-mg-e-sp-em-busca-de-vacina-contra-a-covid-19"
"8","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-libera-declaracoes-de-rendimentos"
"9","https://www.gov.br/capes/pt-br/assuntos/noticias/a-escola-em-tempos-de-pandemia"
"10","https://www.gov.br/capes/pt-br/acesso-a-informacao/perguntas-frequentes/outros-assuntos-da-capes"
"11","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-investe-em-pesquisa-sobre-saude-e-educacao-indigena"
"12","https://www.gov.br/capes/pt-br/assuntos/noticias/praticas-de-producao-de-texto-atrai-60-mil-professores"
"13","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-apoia-projetos-de-estimulo-a-saude-alimentar"
"14","https://www.gov.br/capes/pt-br/assuntos/noticias/alimentacao-escolar-protege-a-saude-de-adolescentes"
"15","https://www.gov.br/capes/pt-br/assuntos/noticias/nanotecnologia-brasileira-mais-produtividade-da-agricultura"
"16","https://www.gov.br/capes/pt-br/assuntos/noticias/lancado-premio-capes-de-tese-2021"
"17","https://www.gov.br/capes/pt-br/assuntos/noticias/universidade-de-cuiaba-prioriza-saude-em-programa-da-capes"
"18","https://www.gov.br/capes/pt-br/acesso-a-informacao/acoes-e-programas/bolsas/bolsas-no-pais"
"19","https://www.gov.br/capes/pt-br/assuntos/noticias/volta-da-mobilidade-internacional-esta-prevista-para-setembro"
"20","https://www.gov.br/capes/pt-br/assuntos/noticias/capes-lanca-edital-para-doutorado-pleno-nos-estados-unidos"
"21","https://www.gov.br/capes/pt-br/assuntos/noticias/prorrogadas-as-inscricoes-para-mestrados-profissionais-em-nutricao"
"22","https://www.gov.br/capes/pt-br/assuntos/premios"
"23","https://www.gov.br/capes/pt-br/assuntos/noticias/bolsistas-do-pibid-matematica-lancam-livro-sobre-suas-experiencias"
