"","x"
"1","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/default.aspx"
"2","https://www.imo.org/en/MediaCentre/PressBriefings/Archives"
"3","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/Archives.aspx"
"4","https://www.imo.org/en/MediaCentre/PressBriefings/pages/Crew-change-COVID-19.aspx"
"5","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/2019-Archives.aspx?page=2"
"6","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/2019-Archives.aspx?page=3"
"7","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/vaccination-UN-joint-statement.aspx"
"8","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/27-sulphur-2020-roundtable-.aspx"
"9","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/08-MSC-99-MASS-scoping.aspx"
"10","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/23%20Guide-to-rescue-at-sea-for-refugees-and-migrants-now-available-in-six-languages.aspx"
"11","https://www.imo.org/en/MediaCentre/PressBriefings/pages/41-crew-change-protocols.aspx"
"12","https://www.imo.org/en/MediaCentre/PressBriefings/pages/IMO-launches-a-year-of-action-for-seafarers.aspx"
"13","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/2019-Archives.aspx?page=5"
"14","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/25-Torremolinos-Conference.aspx"
"15","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/34-IMO-2020-sulphur-limit-.aspx"
"16","https://www.imo.org/en/MediaCentre/PressBriefings/pages/02-IMO-2020.aspx"
"17","https://www.imo.org/en/MediaCentre/PressBriefings/pages/34-Bravery-2020.aspx"
"18","https://www.imo.org/en/MediaCentre/PressBriefings/pages/42-MEPC-short-term-measure.aspx"
"19","https://www.imo.org/en/MediaCentre/PressBriefings/pages/SWiFT.aspx"
"20","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/08-bwm-study.aspx"
"21","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/20-DOTS-2020.aspx"
"22","https://www.imo.org/en/MediaCentre/PressBriefings/pages/GloLitter-Project-30-countries.aspx"
"23","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/25-World-Maritime-theme-2021.aspx"
"24","https://www.imo.org/en/MediaCentre/PressBriefings/pages/IMO-Virtual-Awards-event.aspx"
"25","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/06GHGinitialstrategy.aspx"
"26","https://www.imo.org/en/MediaCentre/PressBriefings/pages/38-FINSMART-roundtable.aspx"
"27","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/23-GMN-overview-.aspx"
"28","https://www.imo.org/en/MediaCentre/MeetingSummaries/Pages/SSE-Default.aspx"
"29","https://www.imo.org/en/MediaCentre/MeetingSummaries/Pages/LEG-Default.aspx"
"30","https://www.imo.org/en/MediaCentre/MeetingSummaries/Pages/TC-Default.aspx"
"31","https://www.imo.org/en/MediaCentre/MeetingSummaries/Pages/NCSR-default.aspx"
"32","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/40-MSC94wrap.aspx"
"33","https://www.imo.org/en/MediaCentre/MeetingSummaries/Pages/HTW-Default.aspx"
"34","https://www.imo.org/en/MediaCentre/PressBriefings/pages/43-promoting-diversity.aspx"
"35","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/04MARPOLamendments.aspx"
"36","https://www.imo.org/en/MediaCentre/MeetingSummaries/Pages/Council-default.aspx"
"37","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/32-A-30-opening.aspx"
"38","https://www.imo.org/en/MediaCentre/MeetingSummaries/Pages/FAL-default.aspx"
"39","https://www.imo.org/en/MediaCentre/PressBriefings/pages/39-GHG-SMART-.aspx"
"40","https://www.imo.org/en/MediaCentre/MeetingSummaries/Pages/SDC-Default.aspx"
"41","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/02-department-for-partnerships-and-projects-.aspx"
"42","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/15-Polar-film.aspx"
"43","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/23-SENSREC-Phase-III.aspx"
"44","https://www.imo.org/en/MediaCentre/PressBriefings/pages/46-no-crew-change-clause-.aspx"
"45","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/32-GMN-MTCC.aspx"
"46","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/09-seafarers-COVID19.aspx"
"47","https://www.imo.org/en/MediaCentre/pressbriefings/pages/09mepc63ends.aspx"
"48","https://www.imo.org/en/MediaCentre/Pages/WhatsNew-1579.aspx"
"49","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/21-medical-care-seafarers.aspx"
"50","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/02--GBS.aspx"
"51","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/21-BWM-Amendments-EIF-.aspx"
"52","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/01-WMU-president.aspx"
"53","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/22-BWM-.aspx?platform=hootsuite"
"54","https://www.imo.org/en/MediaCentre/MaritimeNewsMagazine/Pages/default.aspx"
"55","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/05-glofouling-taskforce.aspx"
"56","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/08-IMO-SG-message.aspx"
"57","https://www.imo.org/en/MediaCentre/PressBriefings/pages/03-piracy-Gulf-of-Guinea.aspx"
"58","https://www.imo.org/en/MediaCentre/PressBriefings/Pages/3-SG-emissions.aspx"
