"","x"
"1","https://www.isa.org.jm/news/2020"
"2","https://www.isa.org.jm/news/2021"
"3","https://www.isa.org.jm/news/isa-assembly-endorses-shift-towards-programmatic-approach-capacity-development-and-requests"
"4","https://www.isa.org.jm/news/2019"
"5","https://www.isa.org.jm/news/how-apply"
"6","https://www.isa.org.jm/news/statement-passing-dr-biliana-cicin-sain-president-global-ocean-forum"
"7","https://www.isa.org.jm/news/2018"
"8","https://www.isa.org.jm/news/2008"
"9","https://www.isa.org.jm/news/permanent-representative-china-presents-credentials-international-seabed-authority"
"10","https://www.isa.org.jm/news/2010"
"11","https://www.isa.org.jm/news/2013"
"12","https://www.isa.org.jm/news/2017"
"13","https://www.isa.org.jm/news/2012"
"14","https://www.isa.org.jm/news/2015"
"15","https://www.isa.org.jm/news/2011"
"16","https://www.isa.org.jm/news/2016"
"17","https://www.isa.org.jm/news/2007"
"18","https://www.isa.org.jm/news/2009"
"19","https://www.isa.org.jm/news/announcement"
"20","https://www.isa.org.jm/news/2014"
"21","https://www.isa.org.jm/news/international-seabed-authority-marks-twentieth-anniversary"
"22","https://www.isa.org.jm/news/nautilus-minerals-propose-joint-venture-enterprise"
"23","https://www.isa.org.jm/news/workshop-marine-mineral-resources-africa"
"24","https://www.isa.org.jm/news/african-states-encouraged-participate-all-aspects-work-authority"
"25","https://www.isa.org.jm/news/isa-issues-technical-study-12-available-online"
"26","https://www.isa.org.jm/news/isa-issues-technical-study-11-available-online"
"27","https://www.isa.org.jm/news/isa-opens-historic-20th-session-kingston-elects-president-and-adopts-agenda"
"28","https://www.isa.org.jm/news/announcement-1"
"29","https://www.isa.org.jm/news/ambassador-carlos-alberto-michaelsen-den-hartog-presents-credentials-authority"
"30","https://www.isa.org.jm/news/council-hears-report-joint-meeting-legal-technical-commission-and-finance-committee"
"31","https://www.isa.org.jm/news/international-seabed-authority-enters-new-stage-development-marine-minerals"
"32","https://www.isa.org.jm/news/isa-holds-23rd-annual-session-kingston"
"33","https://www.isa.org.jm/news/isa-library-online-catalogue"
"34","https://www.isa.org.jm/news/progress-report-work-authority-secretary-general-mr-michael-w-lodge"
"35","https://www.isa.org.jm/news/international-seabed-authority-intergovernmental-conference-marine-biodiversity-areas-beyond"
"36","https://www.isa.org.jm/news/china-minmetals-corporation-signs-exploration-contract-international-seabed-authority"
"37","https://www.isa.org.jm/news/isa-legal-and-technical-commission-select-candidates-contractor-training-programmes"
"38","https://www.isa.org.jm/news/stakeholder-consultations-draft-standards-and-guidelines-exploitation-mineral-resources-area"
"39","https://www.isa.org.jm/news/international-seabed-authority-legal-and-technical-commission-issues-working-draft-exploitation"
"40","https://www.isa.org.jm/news/seabed-council-adopts-decision-report-legal-and-technical-commisison-concludes-work-authoritys"
"41","https://www.isa.org.jm/news/isa-council-hears-legal-and-technical-commission-report-contractor-activities"
"42","https://www.isa.org.jm/news/isa-and-comra-hold-workshop-development-regional-environmental-management-plan-cobalt-rich"
"43","https://www.isa.org.jm/news/international-seabed-authority-releases-stakeholder-submissions-draft-exploitation-0"
"44","https://www.isa.org.jm/news/international-seabed-authority-22nd-session-background-press-release"
"45","https://www.isa.org.jm/news/isa-commences-first-periodic-review"
"46","https://www.isa.org.jm/news/isa-selects-candidates-contractor-training-programmes"
"47","https://www.isa.org.jm/news/isa-exploration-contractors-meet-kingston"
"48","https://www.isa.org.jm/news/nauru-proposal-gets-seabed-council-attention"
"49","https://www.isa.org.jm/news/announcement-0"
"50","https://www.isa.org.jm/news/ifremer-and-isa-sign-extension-agreement-exploration-contract-polymetallic-nodules"
"51","https://www.isa.org.jm/news/isa-and-centre-international-law-hold-workshop-mineral-exploitation-area"
"52","https://www.isa.org.jm/news/permanent-representative-chile-presents-credentials-international-seabed-authority"
"53","https://www.isa.org.jm/news/four-pending-applications-exploration-contracts-represent-new-milestone-seabed-authority"
